ID,CardID,rooms
171B38,0x1382f978a66db88,"0,1,1,0,0,1"
171B39,0x1377be4d106d4c4,"1,1,0,0,0,1"
171B40,0x100c1cc21111bb2,"1,0,0,1,1,0"
171B41,0x7b805448ec66c6,"0,1,0,0,0,0"
171B42,0x15ad71aeed8e935,"1,1,0,0,1,1"
171B43,0xd3a4224ed42820,"0,1,1,0,0,1"
171B44,0xdc4f0410666950,"0,0,0,1,0,1"
171B45,0x1561650ae8c6320,"1,0,0,0,0,1"
171B46,0xd115cc01f56856,"1,0,0,0,1,0"
171B47,0x1315c2ff9880951,"1,0,0,1,1,0"
171B48,0x40ce0ad56e395e,"1,1,0,0,0,0"
171B49,0x93369b3a4138dc,"0,1,0,1,1,1"
171A0,0xad37bf00a3434e,"1,0,1,1,0,1"
171A1,0x1304f2b906c015e,"0,0,0,0,0,1"
171A2,0x1394810921b3caf,"0,1,1,0,0,0"
171A3,0x1b02941d470651,"1,0,1,1,0,0"
171A4,0xf994d091ba887b,"1,1,0,1,1,0"
171A5,0x15a3082f2435aa7,"0,1,0,1,1,0"
171A6,0x3e160f3a5119e4,"1,0,1,0,1,1"
171A7,0x44c1f999940c7,"0,1,1,0,1,1"
171A8,0x135e4ccce2b8f6c,"0,1,0,1,1,1"
171A9,0x14f3b9b78624452,"1,1,0,1,0,0"
171A10,0xece790149fed19,"0,0,0,1,0,1"
171A11,0x893f028143d647,"1,1,0,1,1,0"
171A12,0xe75504982eb32e,"1,0,1,0,0,1"
171A13,0xa6f608baf9bfa8,"0,0,1,1,0,0"
171A14,0x5c87594fd318d7,"1,1,0,0,0,1"
171A15,0x8714d499f215cb,"0,1,1,0,0,0"
171A16,0x1419b9ee2e21001,"1,0,1,1,0,0"
171A17,0xee42f434dfb17d,"0,0,1,0,0,1"
171A18,0xfc27187a169a3c,"1,1,1,1,0,0"
171A19,0x54a175168ba7a5,"1,1,1,1,1,0"
171A20,0x999fbacded1f04,"1,1,1,0,0,1"
171A21,0xf6f4877ade9182,"0,0,0,1,0,0"
171A22,0xa86b9d0e548f7b,"0,0,0,1,0,1"
171A23,0xf57bb21f33635,"1,1,1,1,0,1"
171A24,0x1222556c2de60f6,"1,1,0,0,0,1"
171A25,0xfdc759fcf34ef,"1,1,0,0,0,1"
171A26,0xe65b32e4df44ed,"0,1,0,0,0,1"
171A27,0x76c4546fbd02d9,"0,1,0,0,0,0"
171A28,0x45d46671b14274,"1,1,1,1,1,0"
171A29,0xe188d8baa850f4,"1,1,1,0,1,1"
171A30,0x149ccfbde0b7b8f,"1,0,0,0,1,1"
171A31,0x97c5189ceb0111,"0,1,1,0,1,0"
171A32,0x76878c1642f6c6,"0,1,1,0,0,1"
171A33,0x1009b807c4dc382,"1,1,1,0,0,1"
171A34,0x11da543603be380,"0,0,0,1,0,1"
171A35,0x1505c3cf53bdee8,"1,0,0,1,0,0"
171A36,0x9fcc5deec63fd3,"0,1,1,0,1,1"
171A37,0x10beb4295f11f6f,"0,1,0,0,1,1"
171A38,0x8614e1c734b2d4,"1,1,0,0,0,0"
171A39,0xe217e0e1bc1919,"0,1,1,1,1,0"
171A40,0xd2c52f996f301,"1,0,0,0,0,0"
171A41,0x87f807dc0529a0,"0,1,1,0,0,1"
171A42,0x23e20834baf008,"1,0,1,1,1,1"
171A43,0x47711500c1ba7b,"0,0,1,0,1,1"
171A44,0x73b80bfc565e13,"1,0,1,0,0,1"
171A45,0x1089387f48a83a9,"0,1,0,1,0,1"
171A46,0x12c1955c400ef54,"1,1,0,0,1,1"
171A47,0x1557d571cabf258,"0,0,0,0,1,1"
171A48,0x7f24bd85415344,"1,1,1,1,1,1"
171A49,0xf51fcc9409fbed,"1,1,0,0,0,0"
171C0,0x144eb611e69e436,"0,1,0,0,0,0"
171C1,0xfa3f6a2d1ba5ff,"1,0,0,1,0,0"
171C2,0xe64b7822637bc1,"1,0,1,1,1,0"
171C3,0x116efb58e20631f,"0,0,1,0,1,1"
171C4,0x158027e4d99af94,"1,1,1,0,0,0"
171C5,0x309796461af334,"0,0,1,1,0,1"
171C6,0xa8ec667a0951bd,"0,0,1,1,0,0"
171C7,0x13b8bbbdc3287ba,"1,0,0,1,0,1"
171C8,0x78971bce03cdb7,"0,1,0,0,0,1"
171C9,0x154f3d5828be914,"1,0,1,1,0,1"
171C10,0x163397447bef19c,"1,1,0,0,1,1"
171C11,0x537ca92ba1d21b,"1,0,0,0,1,1"
171C12,0xce13902f49c02a,"1,0,1,1,0,1"
171C13,0x69d505f631a636,"1,1,0,1,0,1"
171C14,0xd04dc626421323,"1,1,0,0,1,1"
171C15,0x9d85c52d82f6ec,"0,0,0,0,1,1"
171C16,0xad4634bd82654a,"1,0,1,1,1,1"
171C17,0x55f8d140519703,"0,0,1,0,0,1"
171C18,0xe701e33c5b577d,"0,0,1,1,0,1"
171C19,0x14d23ea5b8ddedf,"0,0,0,1,0,0"
171C20,0xdb5c5d32a4318,"0,0,0,0,0,0"
171C21,0x7f4f7ef6e25518,"0,1,1,0,1,1"
171C22,0x132dd2b3f21c852,"0,1,1,0,0,1"
171C23,0x135c881ad137245,"0,0,1,0,0,1"
171C24,0x1e665465f228e8,"1,1,0,0,0,1"
171C25,0x10a07d6cee7d9ef,"1,0,0,0,0,1"
171C26,0xd1f872243dd70f,"1,1,0,1,0,0"
171C27,0x9bc05855e09367,"1,1,0,1,1,1"
171C28,0xdf477bf1ec60d8,"1,0,0,0,0,0"
171C29,0xa87f5b4014dc57,"1,0,0,1,0,1"
171C30,0x18b135d7a811a2,"0,1,1,1,1,1"
171C31,0xd0fc87dd4a31ab,"1,1,0,0,1,0"
171C32,0xa2124cd41bbe7,"0,0,1,0,1,1"
171C33,0x55c103d37e5d35,"0,0,1,0,0,1"
171C34,0xb5cf790a6e7f6e,"0,1,1,0,1,0"
171C35,0xb9d92c1de2510a,"0,0,1,1,1,0"
171C36,0x1bfc89c1cd7fc,"0,1,0,0,0,0"
171C37,0xf15ce4b6a4ad84,"1,1,1,0,1,1"
171C38,0x14451058c0d4202,"0,1,0,0,1,0"
171C39,0x16094f9cc81a07b,"0,0,1,0,1,1"
171C40,0x11358f1f0e0f058,"1,1,0,0,0,0"
171C41,0x141e886f4aa3808,"0,1,1,0,0,0"
171C42,0xb0a731a08e6305,"1,0,1,1,0,0"
171C43,0x271666dd88d19b,"0,1,0,1,1,0"
171C44,0x162ff87e4c2a34d,"1,1,0,1,0,1"
171C45,0x1f8e27b4d9b9b9,"0,0,0,0,1,0"
171C46,0x150f9a4fa804206,"1,1,0,1,1,0"
171C47,0x102c1a6d22cd147,"0,1,1,0,0,0"
171C48,0xe8e25b64398196,"1,1,0,0,0,0"
171C49,0xc38e3b123c1936,"1,1,0,0,0,1"
172B0,0x71300eae041aa7,"1,0,1,1,0,0"
172B1,0xc35d503e6523e,"0,0,0,0,1,1"
172B2,0xe09d9d2886818a,"1,1,1,1,1,0"
172B3,0x11035681079e69c,"1,1,1,1,0,1"
172B4,0x437afc7abfd495,"0,1,1,1,1,1"
172B5,0x178b11cc8686af,"0,0,0,1,0,0"
172B6,0x7af7b794a390c9,"1,1,1,1,0,1"
172B7,0x12d65f8241c54de,"1,1,0,0,0,0"
172B8,0xa5b860b992f33a,"1,0,0,0,1,1"
172B9,0x10e17b8d3973e60,"1,0,1,0,0,0"
172B10,0xd3d372b4a9a1ad,"0,1,1,1,0,1"
172B11,0x2a6fad3fe2d099,"1,1,0,1,0,0"
172B12,0x125563b5473657f,"0,1,1,0,0,0"
172B13,0x141b675b7154c82,"0,1,0,0,1,0"
172B14,0x5aeeb625b519f0,"0,0,0,0,0,0"
172B15,0x13447e797402c42,"0,1,0,1,1,0"
172B16,0x7b6cadc3465,"0,0,1,1,0,1"
172B17,0x5d59389161e9a9,"0,1,1,0,1,1"
172B18,0xb4bc066721d926,"1,0,1,1,1,1"
172B19,0x10fa777ac804d83,"0,0,0,0,1,1"
172B20,0x12e2063d1e8b13c,"0,0,1,1,1,1"
172B21,0x10f285e332853ad,"0,1,1,0,1,0"
172B22,0x4323d4427249a0,"1,0,0,1,0,0"
172B23,0xc4c79d439f4cb9,"1,1,1,0,1,0"
172B24,0x132e57bbcdc4ea0,"0,0,0,1,1,0"
172B25,0xc09c1c8665debc,"0,1,0,1,1,1"
172B26,0x43f2dd31e5377f,"0,0,1,0,1,0"
172B27,0xdbe1de104abe0,"0,1,0,1,0,1"
172B28,0x15b551b0132811a,"0,0,1,1,0,0"
172B29,0xa452eeebf887c1,"1,0,1,0,0,1"
172B30,0x2cad91cfed58c7,"0,1,1,1,0,0"
172B31,0xf3d42de6bbaa17,"1,1,0,0,0,0"
172B32,0xbf213c93e8b510,"0,0,0,1,0,0"
172B33,0xe46e1532f10f9c,"0,1,1,0,0,0"
172B34,0x14328d0e089cad2,"0,1,0,0,1,0"
172B35,0x7181c9dd46747e,"1,1,0,0,1,0"
172B36,0x48c7360791702c,"0,1,0,0,0,0"
172B37,0xa7805adda9127b,"1,0,0,1,1,1"
172B38,0x148c669f637e7f3,"0,0,1,0,1,0"
172B39,0xfe4f26a85545ef,"1,0,1,0,0,0"
172B40,0x12638e40721c423,"0,1,1,0,1,0"
172B41,0xb5c665428c98e1,"0,0,0,1,0,1"
172B42,0x1ec111912d7347,"0,0,0,1,1,0"
172B43,0x415e9939f1092f,"1,1,1,1,1,1"
172B44,0x13bf587b51d7356,"0,1,0,0,1,1"
172B45,0x6e7b99b8b9b705,"1,0,1,0,0,1"
172B46,0x14301846d888710,"0,0,1,0,0,0"
172B47,0x126766d478d05a7,"1,0,1,1,1,0"
172B48,0x5d94029c402ac9,"1,0,0,0,0,1"
172B49,0xd3694eedce2bb7,"1,0,0,0,0,0"
172A0,0x11696ae979b41a5,"0,1,1,1,0,1"
172A1,0x1456f86f6611512,"1,1,0,1,1,0"
172A2,0x116c3aba75813a,"1,1,1,1,0,0"
172A3,0xf34b63886707ef,"1,0,0,1,0,1"
172A4,0x72e747659d98ad,"1,0,0,0,1,1"
172A5,0x14fd05edc17efea,"0,1,0,1,1,1"
172A6,0x121c5eff04a05d1,"0,0,1,0,0,1"
172A7,0x1878aed8cc84f1,"0,0,1,1,0,0"
172A8,0x67a027144572af,"0,0,1,0,0,0"
172A9,0x9c609a4ebba21b,"1,1,0,0,0,1"
172A10,0x5fc4dc0347f878,"1,1,1,0,1,1"
172A11,0x187e4faa1c0fc6,"0,1,0,0,1,0"
172A12,0x13b14194f192c5f,"0,1,0,0,1,1"
172A13,0xfd94ed10e2e696,"0,0,0,1,0,0"
172A14,0x7d316ad6da007e,"1,1,0,0,0,1"
172A15,0xe1f97986a0f180,"1,1,1,1,1,1"
172A16,0xc4cf096d7eb282,"0,0,0,1,0,0"
172A17,0x4433f3873cf3c7,"0,1,1,1,1,1"
172A18,0x18f913806311d8,"0,1,1,1,1,0"
172A19,0x10d3ba2d10db36e,"0,0,0,1,0,0"
172A20,0x11f3d1c92747f8d,"0,1,1,0,1,0"
172A21,0xa30acf20f1b522,"1,0,0,0,0,1"
172A22,0x490d082c0b1fcf,"0,0,1,1,1,1"
172A23,0x109ae264641f06f,"0,0,1,0,0,0"
172A24,0x6fbfecc7beeb6e,"0,1,1,1,1,0"
172A25,0x13d125fac25c70e,"1,0,1,1,1,0"
172A26,0x108c0761f09a07d,"1,1,0,1,1,1"
172A27,0x3d319a203c4042,"0,1,1,1,0,0"
172A28,0x5a020a020b5470,"0,1,0,1,0,0"
172A29,0x13ee743db25505d,"0,1,1,0,1,1"
172A30,0x1593db795eda536,"0,1,0,0,1,0"
172A31,0x1198b210b22f543,"0,1,1,1,0,1"
172A32,0xb36b48caa56f59,"1,1,0,0,0,0"
172A33,0xac4c487cdbd462,"0,0,0,0,0,1"
172A34,0x123a80d1e7b9171,"0,0,0,0,1,0"
172A35,0x158c57353e8344b,"0,1,1,0,0,1"
172A36,0x153f5b7a8fd2d71,"1,1,0,1,1,1"
172A37,0x106590d3e6d81a5,"0,1,1,1,1,1"
172A38,0x116d6b27297638c,"0,1,1,1,0,1"
172A39,0x117f36e71d64272,"0,0,1,1,0,0"
172A40,0x21c28862bae281,"0,1,0,1,0,0"
172A41,0x2d6d4a8cac17a1,"1,0,1,1,1,1"
172A42,0xfe00c084799825,"0,0,1,0,0,0"
172A43,0x494fdb0979d3af,"1,1,0,0,0,0"
172A44,0x6feb7ad0b92f69,"1,1,1,0,1,1"
172A45,0xc9fd0c19ccf6dd,"0,1,0,1,0,1"
172A46,0xb16c78777cbc80,"1,0,0,0,0,0"
172A47,0x148d8878fc3e511,"1,0,0,0,0,0"
172A48,0x112d32a885e84de,"0,0,1,1,0,0"
172A49,0x8968aa56f795e3,"0,1,1,1,1,0"
172C0,0xdf32d9b042c8d,"1,0,1,0,1,1"
172C1,0x14979f10fc9c076,"1,1,1,0,0,1"
172C2,0xa9aac3ca60ca88,"0,1,0,1,1,1"
172C3,0x1110582a7449250,"0,0,1,1,1,0"
172C4,0xee5ffdb8e8de31,"1,0,1,1,1,1"
172C5,0x9955627805cf7c,"0,0,1,1,1,1"
172C6,0x16073b360736194,"0,1,0,0,0,0"
172C7,0x1479dcbc0308d47,"1,1,0,1,0,0"
172C8,0x218f3b1f2ecd10,"0,0,0,0,1,1"
172C9,0x56206b9f3613bd,"0,0,0,0,1,1"
172C10,0x1124f3ae174b761,"1,0,1,0,0,0"
172C11,0x316f7695a92254,"1,1,0,1,0,0"
172C12,0x1255c0a8cc87e0d,"1,0,1,0,1,1"
172C13,0x60045f0d54b195,"0,0,0,0,0,0"
172C14,0x353bef979dac06,"0,1,1,0,0,0"
172C15,0x9b53b7500f56c8,"0,1,1,1,0,1"
172C16,0x29a52fd4d1916d,"1,1,0,0,1,0"
172C17,0xbbb05d18510be4,"1,0,1,0,1,0"
172C18,0xd822fc965bae1,"1,0,0,0,1,1"
172C19,0x748cb1b523b181,"1,1,0,1,0,0"
172C20,0xe01699a50de49a,"1,0,1,1,1,0"
172C21,0x1372d3294c72e3a,"1,1,0,0,0,1"
172C22,0x10a4a26e869a822,"1,1,0,1,0,0"
172C23,0x5def072e01c462,"1,0,0,1,0,1"
172C24,0x11d70e271150a1b,"1,0,1,1,0,1"
172C25,0x5fd48dc38a4335,"0,1,0,1,0,1"
172C26,0xcf20377f250884,"0,1,1,1,1,1"
172C27,0x12bddec302a522d,"1,0,0,0,0,0"
172C28,0x116a4a8faafe4d5,"1,1,0,1,0,1"
172C29,0x116b90c9ce411b4,"1,1,0,1,0,0"
172C30,0x895f8447221f3c,"1,1,0,0,1,1"
172C31,0x5c786e2dc5b4bb,"1,1,0,1,1,1"
172C32,0x9a55a3dc6f3a99,"0,1,1,1,0,1"
172C33,0xb47af61a221e88,"0,1,1,0,0,1"
172C34,0x3dc61654ab5554,"1,1,0,0,0,0"
172C35,0x5f3db75e2014c0,"0,0,1,1,0,0"
172C36,0x977d335da7d943,"1,0,1,0,1,0"
172C37,0xb9cc4379d4fb7e,"1,0,0,1,1,0"
172C38,0xd04db180d267f5,"0,1,0,0,1,0"
172C39,0x4e3f9f046a71a8,"1,0,0,0,0,1"
172C40,0xa436939d70b75b,"0,1,1,0,0,1"
172C41,0xa796e89c54a3fc,"1,0,0,1,1,1"
172C42,0x1053c9717b7d1d4,"1,1,0,1,1,0"
172C43,0x13a40138a6ab940,"1,0,0,1,1,0"
172C44,0x138d2ccbaf6b9d1,"1,1,0,1,0,0"
172C45,0x10978b871a28642,"0,1,0,0,0,0"
172C46,0x42071661456e86,"1,1,1,1,0,0"
172C47,0x2179f47fb03dcf,"0,0,1,0,0,1"
172C48,0xcc604a859885d7,"1,1,0,0,1,0"
172C49,0x3a8d0ce35500f4,"0,1,0,0,1,0"
173B0,0x2371b5387a4fa2,"1,1,1,0,0,1"
173B1,0x85197f6fb2e97b,"1,0,1,0,0,1"
173B2,0xbb463352058311,"0,1,0,1,0,0"
173B3,0xb4282ef2f15088,"0,0,1,0,1,0"
173B4,0xeffcf2f5f1afd3,"0,1,0,0,0,1"
173B5,0x380175e7ac1fe,"0,0,0,0,1,1"
173B6,0x12ffeae808f015,"0,1,0,0,1,0"
173B7,0xd9059512ff0743,"0,1,1,0,1,0"
173B8,0x145f2bed564daae,"0,0,1,1,0,0"
173B9,0x26cef03bc53be0,"0,0,0,0,0,0"
173B10,0x11f27412b5636ca,"0,1,0,1,1,1"
173B11,0x13534dd253b852,"1,0,0,0,1,1"
173B12,0x93cb3bfe7f00c4,"1,1,0,0,1,0"
173B13,0x779a6e531d8bc,"0,0,0,1,1,1"
173B14,0xb3d7d2d6c5d17d,"1,0,1,1,1,0"
173B15,0x1129267a21e8b1e,"1,0,1,1,1,1"
173B16,0x14f8f64694e617,"1,0,0,0,1,0"
173B17,0x11a908645398710,"1,0,0,1,1,1"
173B18,0x11138a33e850299,"1,1,0,0,1,0"
173B19,0x1364d51aa5673dc,"1,0,0,1,1,0"
173B20,0x54cb7e86b1cf48,"1,0,0,1,0,1"
173B21,0x8c170d6b89bf,"0,0,0,1,1,1"
173B22,0x78fcc67d60ff20,"0,0,1,0,0,0"
173B23,0x1023d060862b852,"0,0,0,0,1,1"
173B24,0x16285202d752987,"1,0,0,1,1,0"
173B25,0x186605be0f28b4,"0,0,0,0,0,1"
173B26,0x1f2191af0960ef,"1,0,0,1,0,0"
173B27,0x116304f04b8a0f3,"1,1,0,1,1,1"
173B28,0x75a906329ece25,"1,1,1,0,0,0"
173B29,0xb5e335984ea20f,"1,1,1,1,1,1"
173B30,0xc9aaa06853cda2,"0,0,0,1,1,1"
173B31,0xdcf366a30f48ed,"1,0,1,1,1,1"
173B32,0x77e3118523cdde,"1,1,0,0,0,0"
173B33,0x82b16215e26491,"0,1,1,1,0,1"
173B34,0x2e9743d95c58bc,"1,1,1,0,1,0"
173B35,0x5085fb059f8987,"1,0,0,0,1,0"
173B36,0x23e4d9e368da1e,"0,1,1,0,1,1"
173B37,0x12df66c2130f208,"0,0,1,0,1,0"
173B38,0xf292b9e7907c4b,"1,0,0,1,1,0"
173B39,0x39e71e8b72e8d0,"1,0,1,1,0,0"
173B40,0x14ef8b1c808e23c,"0,0,1,0,0,1"
173B41,0x14ce25aa922d2c3,"0,0,0,1,0,1"
173B42,0x11de51c1e6b8055,"0,1,0,0,0,0"
173B43,0x12b96b7564916cd,"1,0,0,0,1,1"
173B44,0x11be80b84850125,"1,1,1,0,0,0"
173B45,0x13167305434fdb5,"1,0,1,0,0,0"
173B46,0xfefbc597d1da98,"0,1,0,0,0,1"
173B47,0x5baca0845d22d4,"1,0,1,0,0,1"
173B48,0xc4d9a07b548e1f,"0,1,1,0,1,1"
173B49,0xbf19d7696ef6be,"1,1,1,1,0,0"
173A0,0x5b1c5323bcc97b,"1,0,0,1,1,1"
173A1,0x27459f434f6698,"1,1,1,0,0,0"
173A2,0x120ca5e59dccfd0,"0,1,0,0,1,1"
173A3,0xd34e3209715763,"0,1,0,0,1,0"
173A4,0x8171e9c48fdb56,"0,1,1,1,0,0"
173A5,0x5dce955ece579e,"1,1,1,0,0,1"
173A6,0xc888fe36b6766b,"0,1,1,0,1,0"
173A7,0x9381d60a07aef4,"0,0,0,0,0,0"
173A8,0x63aa40c558532f,"1,0,0,0,1,0"
173A9,0xd435140f9b3ccc,"1,0,0,0,1,0"
173A10,0xff251c1c218b4c,"1,1,0,0,0,0"
173A11,0xc245bd2cf4f831,"0,1,1,1,1,0"
173A12,0x101eec1d6e383b7,"0,0,1,0,0,0"
173A13,0xb72791686dcaaa,"0,0,0,1,0,0"
173A14,0xffab84fb5422a4,"1,1,1,0,1,1"
173A15,0xd56ee5b0da8bdf,"1,0,1,0,1,1"
173A16,0x90655b0a68ad61,"1,0,0,1,0,1"
173A17,0x108d8513e740ae6,"1,1,1,1,0,0"
173A18,0x73fd9247e11850,"0,1,1,1,1,0"
173A19,0xd4b5f6f49c0336,"1,1,1,1,0,1"
173A20,0x55ff5109b5a9c7,"0,0,0,0,0,1"
173A21,0x81fe0357531050,"1,1,0,1,0,1"
173A22,0x15d83419fd84460,"1,0,0,1,0,0"
173A23,0xac6e1697187507,"1,0,1,1,0,1"
173A24,0xd99e5089721155,"1,1,1,0,1,0"
173A25,0x119a29e9d5de6be,"1,1,1,1,1,1"
173A26,0xf1daa73fc6e7ce,"1,0,1,0,0,0"
173A27,0x139f9524fd56d73,"0,0,0,1,1,1"
173A28,0xb273d02d9a8a04,"0,0,0,0,1,1"
173A29,0x14833a6adc602c7,"0,1,1,1,0,1"
173A30,0x12a7998cf887a57,"1,1,0,1,0,1"
173A31,0xc35b77bca349ed,"1,1,0,0,1,1"
173A32,0x1588c8187aa392b,"0,1,1,1,1,1"
173A33,0x87d59f046705b4,"1,0,0,1,0,0"
173A34,0x14c8cf89f2d8016,"0,0,1,0,0,0"
173A35,0xee3e0a9df4816b,"0,0,0,0,1,1"
173A36,0xc96e680f15a096,"1,1,0,1,1,0"
173A37,0x1290c7c3e3c6cc7,"0,0,0,0,1,0"
173A38,0x15903969e25fa27,"0,0,1,1,0,1"
173A39,0xcb207f5561138f,"1,1,0,1,1,1"
173A40,0x105f30b8bb01ec3,"0,1,0,0,0,1"
173A41,0x8ad16f3b731e5c,"0,1,0,0,0,1"
173A42,0x9da400ea65a8fa,"0,0,1,1,0,1"
173A43,0x13b74ea8119fec0,"1,0,1,1,0,0"
173A44,0x957c4fc35ca002,"0,0,0,0,0,0"
173A45,0x739b43264350cc,"0,0,1,1,1,1"
173A46,0x4b67ea128d8ea4,"0,0,1,1,1,1"
173A47,0x44327d855edec2,"0,0,1,1,0,0"
173A48,0xf40e0058f881f3,"0,0,1,1,0,1"
173A49,0x833e206d9ff2ba,"1,1,0,1,0,1"
173C0,0x15bb842c00454a1,"0,1,1,0,0,0"
173C1,0xbcdee50a9196a9,"0,0,1,0,0,1"
173C2,0x55281b0595d0d4,"1,1,0,0,0,1"
173C3,0x16100b91afe4221,"1,1,1,0,0,1"
173C4,0x5304fc644dcf66,"0,1,1,0,1,1"
173C5,0xf48c71729c955a,"1,0,1,0,1,0"
173C6,0x15816b5413dae82,"1,1,1,1,0,1"
173C7,0x3b6bcc30dd7c13,"1,0,1,1,1,1"
173C8,0x14729241f76a9ca,"0,0,0,1,1,1"
173C9,0x126096199a3e4a3,"1,1,0,1,1,1"
173C10,0x95b1e40f9f2d3c,"0,1,0,1,1,1"
173C11,0x83c6be88d6ab86,"1,0,0,0,0,0"
173C12,0x6da01409115a38,"0,1,1,0,1,0"
173C13,0xd54ab80d91de68,"1,0,0,0,1,1"
173C14,0x7915fea1035247,"0,0,1,1,0,1"
173C15,0x125a16c4a53c95c,"0,0,0,0,1,0"
173C16,0xa7c6dc1bf633bd,"1,1,1,1,1,0"
173C17,0x720383d0a53ef6,"1,1,1,0,1,1"
173C18,0x809d3d4631eb77,"1,1,1,0,1,1"
173C19,0x15778f714bd85ff,"1,1,1,1,0,0"
173C20,0x3847796e936f9d,"0,0,1,0,1,0"
173C21,0x1212c7c670aff44,"0,1,1,1,1,1"
173C22,0xfe978e3b4d156c,"1,1,0,1,1,0"
173C23,0x847f09f7b05cb4,"1,0,1,1,0,0"
173C24,0x1081672b2cfd51c,"0,0,0,0,0,0"
173C25,0x137c225e195848c,"0,0,1,0,0,0"
173C26,0xe9bafdae6873b4,"0,1,0,0,0,0"
173C27,0xfa16d491b36ff5,"0,0,0,1,1,0"
173C28,0x894483405fd64b,"1,0,1,0,1,0"
173C29,0x151cd15248f50e1,"0,0,1,0,0,0"
173C30,0x1daa8c1e3f8a47,"1,1,0,1,0,1"
173C31,0x10e61b830879852,"0,0,1,1,1,1"
173C32,0xe55a3601004377,"1,0,1,1,0,1"
173C33,0x4ec499e2c2df2,"1,1,1,1,1,0"
173C34,0x530e9d46b550cd,"0,1,0,1,0,0"
173C35,0x14732d9139e5209,"0,1,1,1,0,0"
173C36,0xe7539669a30a8f,"1,0,1,0,1,0"
173C37,0x4b04ea28d03f89,"1,0,0,1,0,1"
173C38,0x8e8b0afef6a91a,"0,0,1,0,1,0"
173C39,0x1426ffbdb70472e,"1,0,1,0,1,0"
173C40,0x15c01c67fd0d99c,"0,1,0,1,1,1"
173C41,0x13fc9ea08b8a390,"0,1,0,0,1,1"
173C42,0xb52d1860d9ba3c,"1,0,1,0,0,1"
173C43,0xcf6e9b043e1940,"1,0,0,1,0,1"
173C44,0x13c9cde6105e89b,"0,0,1,1,0,0"
173C45,0xffbbd443183cd9,"0,0,0,1,1,1"
173C46,0x34bac7bfe8fffc,"1,1,1,0,1,0"
173C47,0x91514b9ed01b2a,"1,0,1,0,0,0"
173C48,0xe0cac53842859a,"1,0,0,0,0,1"
173C49,0x8bc844b167f08f,"1,0,0,0,0,1"
181B0,0xc516e1087b87d5,"0,1,1,0,0,1"
181B1,0x3e96ba6d6198cb,"1,1,1,1,1,1"
181B2,0x1295f9f4357cbd1,"0,1,1,0,1,0"
181B3,0x13a4704aaf99cef,"1,1,0,0,0,0"
181B4,0x9db23a49c34505,"0,1,1,1,0,0"
181B5,0xcd2b23883601c6,"1,1,1,0,0,1"
181B6,0x46b4ec5f426086,"1,1,0,1,1,0"
181B7,0xa65f512423704b,"1,0,1,1,1,1"
181B8,0x9beb1691915d44,"1,1,0,1,1,1"
181B9,0x12d6647aee659c0,"1,1,1,0,1,0"
181B10,0x21e33886fb3aa7,"0,0,0,1,1,1"
181B11,0x5bdf3c0a3ede6f,"0,0,0,1,1,1"
